token,frequency
tutduğun,3
yükü,3
"pərdə,",3
"Xızr,",3
Mǝnim,3
oldı,3
Yanağı,3
"güldür,",3
Əzǝldǝn,3
tazǝ,3
Keyvan,3
atına,3
"xuda,",3
məsləhət,3
"səndə,",3
"yoldur,",3
"gözünə,",3
atana,3
nisbǝt,3
istǝr,3
xandǝdir.,3
"qapına,",3
talib,3
"meydana,",3
İsmayılın,3
məsələyə,3
istənilən,3
çalışırlar.,3
"bilərəm,",3
tarixçi,3
"söyüş,",3
şeyə,3
"istəmirəm,",3
mövqe,3
olduğunu,3
ölkəsində,3
milli,3
adamlar,3
nəzərinə,3
istəyirəm,3
elan,3
Qərbin,3
özündə,3
dedim.,3
yenidən,3
yazırdı,3
Özünün,3
tarixi,3
sübut,3
Burada,3
ildən,3
haqqında,3
M.Ə.Rəsulzadənin,3
3,3
illik,3
şiəliyin,3
edərkən,3
tolerant,3
ikinci,3
daxilində,3
uyğun,3
açmaq,3
Həzrət,3
"götürüb,",3
"çatmaz,",3
"olanlar,",3
"gəzdim,",3
bǝnzǝr!,3
"gözəlsən,",3
"baxanda,",3
qaralı,3
"gözlər,",3
"dərin,",3
vaxtdır,3
pərvanələr,3
"Xəstəyəm,",3
"dağılır,",3
"Badi-səba,",3
tavus,3
"telli,",3
"gərdənli,",3
"möhkəm,",3
dəyməsin,3
qüdrətin,3
canımdan,3
"Şahım,",3
"lalədir,",3
Görmədim,3
Səg,3
еdir,3
"mələkdir,",3
dadə,3
"şəhrə,",3
"sitəmlər,",3
həmrah,3
Rəqib,3
dağı,3
Gərdən,3
birdən,3
dişlərin,3
ölüncə,3
"deyir,",3
"tüfəng,",3
ətrilə,3
baxa-baxa,3
"dəhanım,",3
qapısında,3
Duruban,3
"ləzzət,",3
eyşü,3
Tazədən,3
damə,3
Vaqifi.,3
nitqə,3
"sərasər,",3
babət,3
Munca,3
"yaxşılıq,",3
Yola,3
"qanını,",3
"həzar,",3
"zühur,",3
kaman,3
Cəllad,3
"uzun,",3
"qanlar,",3
"zamandır,",3
barı,3
gözlərini,3
"olmusan,",3
"döndüyüm,",3
"gecədir,",3
"[http://kulis.az/xeber_%E2%80%9CL%C9%99_Muh%C9%99mm%C9%99d,_L%C9%99_M%C9%99kk%C9%99%E2%80%9D,_b%C3%B6c%C9%99k,_%C4%B0srail,_formul_iddialar%C4%B1__1635.html",3
erotikası.],3
bad,3
mərdin,3
oğlanə,3
sındırdı,3
binadan,3
Məhəmməd.,3
оla,3
Görmədi,3
"yaxşı,",3
buyur,3
еlə,3
Nagahan,3
"ağlar,",3
sözümə,3
qucaq,3
vuranda,3
baxanda,3
Verdilər,3
səni.,3
vursun,3
"əlayıq,",3
"dosta,",3
dərdlərə,3
baxan,3
Gərəkdir,3
"Sevdiyim,",3
"qaydasıdır,",3
adamların,3
kürk.,3
tümən,3
deyir:,3
"bürünmək,",3
rəhmə,3
"qabaq,",3
"yara,",3
"qal,",3
Birin,3
alma,3
desən,3
Gəncədə,3
Tiflis,3
Tökülüb,3
büllur,3
dönür,3
"qəmzə,",3
qəltan,3
"görən,",3
xəyalım,3
ğərq,3
"çеşmi,",3
gördüyün,3
azdır,3
"еtdin,",3
dә,3
Əlbəttə,3
fəqir,3
istər.,3
"görəndə,",3
Zakir,3
keçib,3
Qənaət,3
Ac,3
"arpa,",3
buğda,3
insana,3
"dəvə,",3
"qardaş,",3
Dəvə,3
keçirdi,3
boynunu,3
çıxıbdı,3
Tale,3
"Həqdi,",3
"uşaq,",3
quyruğu,3
məndən?,3
təzədən,3
Xəbərdar,3
məkanda,3
"asudə,",3
"qış,",3
aralıqda,3
məqamə,3
çıxmışdı,3
dolan,3
məşğul.,3
inkar.,3
bişə,3
"tarı,",3
Axırda,3
"dəlil,",3
vura,3
İlk,3
"ac,",3
əlbət.,3
görmüşdü,3
Edəsən,3
xürrəmü,3
əsir.,3
görübsən,3
Birindən,3
"qoymaz,",3
Qardaş,3
olublar,3
belinə,3
aşıb,3
nəsib,3
"bilsin,",3
Oğru,3
"əbrulər,",3
ağzım,3
"bərbad,",3
qıldı.,3
gətir.,3
Geydi,3
bilirsiz,3
qövmə,3
eyləmərəm,3
Durdu,3
"zəfər,",3
verrəm,3
zəif,3
məktub,3
"Barilaha,",3
dəmadəm.,3
dəfn,3
gunə,3
vaxtda,3
Etdim,3
dolandım,3
"Hadi,",3
hәcv,3
kimsә,3
Quru,3
bizә,3
"allah,",3
vizrü,3
"olaydım,",3
Kəşf,3
"molla,",3
vəsiyyət,3
ədəd,3
"Get,",3
zibh,3
"gəlsin,",3
"öldü,",3
həkimü,3
iqdam.,3
heyvan.,3
"əfsus,",3
ölüb,3
şəxsin,3
"sərvər,",3
baran.,3
"yoxdu,",3
"qorxma,",3
"tökmə,",3
yeganə,3
lətif,3
"məna,",3
edibdi,3
"İran,",3
Tərbiyət,3
Verə,3
görür,3
Tutalım,3
dedin,3
zəlilü,3
Möhnətü,3
"nadan,",3
Tapdı,3
səfər.,3
ustad!,3
"yeksər,",3
Kimisi,3
eyləyirdi,3
yıxıldı,3
nəfər.,3
Hamının,3
tərəqqi,3
"qarı,",3
Şahə,3
sərvər.,3
edirdi,3
qarının,3
çəkirdi,3
Ruzi,3
"keşik,",3
ətə.,3
Ayinə,3
mətbəxi-xanə,3
hünər,3
"ərus,",3
oxşayır,3
vəhşət.,3
soltan,3
"dəryanı,",3
"həvəsi,",3
"odlandı,",3
əvvəlki,3
bəxti,3
Oxşayır,3
donuz,3
çəkildi,3
mat,3
her,3
İsgəndər,3
Süfrə,3
yeyirsən,3
bədgüman.,3
"şadəm,",3
yazdığım,3
ahəngər,3
"Abbas,",3
tabu,3
icrə,3
anan,3
"dəftəri""",3
işıq,3
edilmiş,3
3''',3
4''',3
Mehdiqulu,3
nalələr,3
"bağında,",3
Vüsalə,3
"getsə,",3
Yoxumdu,3
xoşdu,3
şimşək,3
ordusu,3
nərgiz,3
kölgə,3
kölgəsində,3
anbaan.,3
düşməndən,3
"gündən,",3
dustaq.,3
imkan.,3
"vurub,",3
Qapını,3
"axtar,",3
Şadlığın,3
dalınca,3
titrədi,3
sənətkar.,3
qoru,3
"qılıncı,",3
torpaq.,3
Göyərçin,3
"bilirəm,",3
Kuyində,3
şən,3
Günəşdir,3
qərb,3
Bərbət,3
"hamilə,",3
güclü,3
Ünsüri,3
nəfsi,3
Ürək,3
yarandı,3
tufan.,3
oxşayır.,3
Əlimdən,3
"külək,",3
gözləyir,3
çıraq,3
"bağa,",3
öncə,3
Ahımdan,3
xaqan,3
həna,3
insanların,3
Ürəyimin,3
kasa,3
camda,3
Saxsı,3
dovşan,3
küp,3
yüngül,3
təəccüb,3
gücü,3
"eybi,",3
çatmaq,3
yaxın,3
düşman.,3
pəridən,3
dildar.,3
saçar.,3
"deyirlər,",3
mərəzi,3
vursa,3
İtə,3
Razılıq,3
olarmı?,3
sevinc,3
"bilərsən,",3
Əvəz,3
xurma,3
Boynuma,3
yaşımla,3
dəyişməz,3
zindanda,3
oruc,3
"İsa,",3
sözündə,3
hərf,3
Cövza,3
İsanın,3
bilik,3
"düşmənlərim,",3
məktəb,3
yaşıyla,3
yaratmışdır,3
"gedirəm,",3
"Aya,",3
şerimi,3
şerimin,3
Çörək,3
Hey,3
Qəza,3
canları,3
"görüncə,",3
yaranmış,3
qulağında,3
adamlar.,3
halal,3
yaradan.,3
Çoxdan,3
qulluq,3
ehsanı.,3
"pay,",3
alov,3
Pərviz,3
üstündür,3
atdım,3
başdan-başa,3
uzaqlaş,3
dərvişlərin,3
Rüstəm,3
tor,3
"axdı,",3
zəhərli,3
Göylər,3
öyrənir,3
zəkası,3
axtar!,3
göhnə,3
"il,",3
Yoxladım,3
Xaqani!,3
Əmin,3
dayaq,3
olmalı,3
axı,3
fərqi,3
"kimsədən,",3
Onsuz,3
55.,3
qəssab,3
müdrik,3
Hümmətimin,3
deyən.,3
ayinə!,3
mərdlər,3
Zülmət,3
Hümmət,3
dəm.,3
Civə,3
küpdə,3
"məskən,",3
Ayla,3
dilə.,3
yeri.,3
yoldan.,3
gil,3
nə.,3
Yolunu,3
inan,3
"Sən,",3
"""Nə",3
qanadında,3
Günəşə,3
edər?,3
nigar.,3
dən,3
Şöhrəti,3
tükə,3
"fəqət,",3
Göylərin,3
cana.,3
bakir,3
Xoy,3
Elmdə,3
"gövhəri,",3
gəzdim,3
"""Quran""",3
qaçdım,3
ulduzlar,3
Xəzran,3
torpağı.,3
şahına,3
qılıncın,3
edəni,2
"ayağa,",2
nərgisi,2
yaraşmaz,2
şiveyi-rəftarə,2
Xabi-qəflətdə,2
A,2
təməin,2
dideyi-giryan,2
yazılar,2
gülxən,2
"desələr,",2
oxlarını,2
"didələrimdən,",2
Qəddinə,2
"qılım,",2
yadın,2
"qoparıb,",2
"nəzərim,",2
ahilə,2
cünun,2
Dəşt,2
adətin,2
"eşqdə,",2
olmağın,2
Doğru,2
"cədəl,",2
axirət,2
bağə,2
girər,2
Rəşkdən,2
əksinə,2
Toxunur,2
Ləli-nabın,2
meylin,2
"üçündür,",2
Xunin,2
ləli-dürəfşanın,2
tənimi,2
tədarük,2
bəslədiyim,2
Vaiz,2
həlakim,2
damən,2
əllər,2
qəmi-aləm,2
cismə,2
"tərsabeçə,",2
İsayi-Məryəm,2
eybdir,2
"etməsin,",2
göstərdikdə,2
Mərdüm,2
"çeşm,",2
Sakin,2
Qoymadın,2
götürmə,2
sormaz,2
"miskin,",2
Daşə,2
"təhqiq,",2
həman,2
"varimi,",2
"görgəc,",2
tapşırdı,2
çıxmışdır,2
namehriban,2
caninə,2
Peyapey,2
sunma,2
ondandır,2
vər,2
Verər,2
"gülrux,",2
Məsihayi.,2
"şövqi,",2
"qəddimi,",2
qurtarə,2
çəkməsin,2
çökmüş,2
yayi.,2
İkən,2
"möhtəsib,",2
"cismə,",2
dəhanından,2
Tutam,2
"damanını,",2
Təvafi-kuyin,2
"qamətim,",2
tutuldu,2
gəldikdə,2
töksə,2
Sitəm,2
"ləli,",2
qasid,2
Sərvü,2
nəzzarəsin,2
badi-səbadən,2
"xəstədil,",2
Tutmuşdu,2
Badi-xəzan,2
rəxtini,2
qoymamışdı,2
bərgü,2
yelə,2
vermişdi,2
mötəbər,2
güzar.,2
əsbab,2
lütflə,2
əyağə,2
tutarmı,2
bərgi-xəzan,2
həsar.,2
vüqar.,2
"bilmədim,",2
Bihuş,2
Qafil,2
nəhar.,2
huş,2
ləhzeyi,2
Nagəh,2
Həqqa,2
Qılmaz,2
Qoymuş,2
İyzəd,2
xumar.,2
"münfəil,",2
heyrət,2
içirəm,2
"sürur,",2
payidar.,2
"rəsmdir,",2
xatirinə,2
xəsarət,2
Xoşa,2
varın,2
"arif,",2
syd,2
keyfiyyətin,2
edənə,2
üstüxani,2
İrişməz,2
kimsədən,2
əhvalimə,2
nəzərlərdən,2
viranəsin,2
yerlər,2
abadan,2
şadman,2
İtaət,2
itaət,2
nüktədan,2
iltifatın,2
kamiran,2
"salsa,",2
tərbiyət,2
Tökər,2
busitan,2
xanda,2
vəhşi,2
təmir,2
"Xudavənda,",2
dönə-dönə,2
ləhzə-ləhzə,2
rəyincə,2
"vərəq,",2
Yusifi-Kən’an,2
"tərki,",2
"müşkil,",2
Tərki-eşq,2
Görə,2
Səbzə,2
hilal.,2
nuri,2
"bilsəydim,",2
mahim,2
Ruzə,2
iftar,2
"büküb,",2
bağrımdakı,2
füzun.,2
Pənd,2
füsun.,2
düşvardır,2
Fərhadı,2
müqəyyəd,2
peyvənd,2
çəkməkdə,2
"сam,",2
"fürsət,",2
nəşəsi,2
"qüssə,",2
dimağimi,2
əсəb,2
"edim,",2
Tutmuş,2
xüld,2
Ğönçə,2
aparmış,2
"huş,",2
mədhuş.,2
"vəqti-səhər,",2
U,2
xubü,2
"Badə,",2
əsli,2
Gərm,2
göstərə,2
Dizi,2
Düşmüş,2
uğradım,2
"xoşxu,",2
qəhri,2
artdı,2
Hörmət,2
tə’zim,2
"tutdun,",2
Rəhi-eşqində,2
vəsldən,2
"məhrum,",2
sivak.,2
"zövqin,",2
qəmi-eşqə,2
afəti-can,2
Sud,2
sərəncamı,2
"aşiqdir,",2
"var""",2
Canlar,2
yetsəm,2
Nagah,2
"Qılma,",2
Olmaya,2
Söhbətimdən,2
almaqda,2
"gülrüxə,",2
Xizr,2
abi-heyvanın,2
Başə,2
"eyləməz,",2
Mişki-Çin,2
"həva,",2
sultanın,2
xali-siyəh,2
"qurbanı,",2
türreyi-tərrarə,2
qətreyi-əşkim,2
"gühəri,",2
Ləblərindən,2
lölöi-şəhvarə,2
qeydini,2
cananəyə,2
isəm,2
"əziz,",2
"füzun,",2
Və’deyi-vəslin,2
"gətirməz,",2
rüxsarında,2
"məskəni,",2
itləri,2
qandanü,2
"yandırma,",2
yaş.,2
baş.,2
pərdəmi,2
faş.,2
çıxsaydı,2
qönçəvəş,2
hicrinə,2
rüxsarını,2
gül-gül,2
Yandırıb,2
"yelə,",2
yığar,2
navəklərin,2
ağaclar,2
dersəm,2
Yerü,2
basmaz,2
Hasilin,2
ortayə,2
"inkar,",2
Töküb,2
Demiş,2
razın,2
ağızın,2
məsti-cami-hüsn,2
Qələtdir,2
bimehr,2
"büti-Çin,",2
imanı,2
Mərizi-eşq,2
iqdi-zülfün,2
Müaliclər,2
müşkildir,2
Deməzlərmi,2
qullar,2
Misrdə,2
aşiqini,2
Eşidib,2
həmdərd,2
"zail,",2
Yeldə,2
Suda,2
əksi-sərv,2
Təfriqə,2
müvafiq,2
"Dostum,",2
səninçin,2
saldım,2
"olduqca,",2
"tən,",2
müqərrərdir,2
ölmək,2
şivən,2
çıxsa,2
mana!,2
sözdür,2
nöqsanə,2
"arizin,",2
dürlər,2
tənin,2
"nazikdir,",2
"sirrinə,",2
gec,2
"göftarə,",2
ləlinə,2
ləli-gövhərbar,2
halim,2
bulmasın,2
Vədə,2
içə,2
tiğilə,2
yaşasın,2
"əcəl,",2
Deməzəm,2
dövründən,2
artırır,2
tərki-dünya,2
"cananın,",2
dərmanın.,2
Hurü,2
meyxanədən,2
çıxmaya,2
qəhrin,2
dövranın.,2
munisi-can,2
Arizusunda,2
yaşinə,2
Etməsəydi,2
həbib.,2
cəmali,2
Lacərəm,2
qılğac,2
səhih,2
İsayə,2
"yoldan,",2
möhnəti-eşqin,2
xunab,2
Ceyhun,2
Leyliyə,2
Bilməyib,2
qədrimi,2
könüllərdə,2
Əhd,2
seyli-sirişk,2
qanun,2
Billah,2
"cəfadır,",2
sevənlər,2
olaydım,2
qəmində,2
Düşməz,2
eyləyən?,2
çəkmişdi,2
rəb,2
pəşiman,2
"xəstəni,",2
tünd,2
səngdilə,2
hünərin,2
qürbət,2
saqın,2
fəryadrəs.,2
Bir-birinə,2
sancıldı,2
qəfəs.,2
eylərmi,2
Suzi-eşqin,2
"sultaniyəm,",2
"riştəsin,",2
qəti-nəzər,2
Hörmətim,2
Səri-kuyin,2
"gözət,",2
cahandan,2
keç!,2
Etibar,2
"axirəti,",2
nigah,2
aşiqlik,2
"Baxma,",2
xətü,2
"məhbublərin,",2
təbah,2
həvavü,2
məşuq,2
"müsəvvir,",2
rüx,2
"çəkdin,",2
"əqlin,",2
"alam,",2
"Noldu,",2
açmağa,2
yumub,2
"aldın,",2
möhlət,2
"qəsdi-can,",2
sənə!,2
"qıldın,",2
afərin,2
çəkməyə,2
mələksima,2
"deməz,",2
"insandır,",2
qurbandır,2
böhtandır,2
seyrdən,2
Ün,2
avazə,2
Sinəmi,2
"çak-çak,",2
zövqin,2
ayinədə,2
cövrin,2
"əlim,",2
məstə,2
Xaki-kuyin,2
seyri,2
bulsam,2
bidərdə,2
seydinə,2
Vacib,2
"rövşən,",2
yetirdim,2
fələkə,2
əncümü,2
olmazdı,2
Fürqan,2
müddəi,2
Cahil,2
"xət,",2
isbat,2
xatəm,2
dəf’,2
etdikdə,2
təğafül,2
meyi-səhba,2
bipərva,2
Qoymadı,2
halimə,2
"hədəf,",2
xəncəri-müjganinə,2
dəryayə,2
vəhmin,2
pürnur,2
zövqi,2
əzmi,2
məhkum,2
təmənna,2
"eyləsəm,",2
məqdur,2
vəhmindən,2
dövranın,2
müxalif,2
"çərx,",2
"ləlin,",2
"tökən,",2
cüğd,2
gözəlsən,2
Eşqimə,2
görməmək,2
əməl.,2
icad,2
əyyamı,2
seyri-bağ,2
gülüb,2
"fəsli-gül,",2
mənü,2
dağ.,2
gəldigin,2
Çəksələr,2
getmən,2
əyağ.,2
yudu,2
dağinə,2
birdir,2
alım,2
"atdın,",2
düşərsə,2
"sərvini,",2
Sərvdən,2
mənim!,2
mərdümi,2
ağılar,2
təmənnadə,2
həmsöhbət,2
"yanımdan,",2
Girmə,2
"qanıma,",2
mərəz,2
dərmandan,2
təşxis,2
"ruzi-qiyamət,",2
"gözdə,",2
Xarü,2
iltər,2
rövzənin,2
lalərüx,2
rüxsarı,2
təmaşa,2
əsası,2
Aşiyan,2
rövzeyi-kuyində,2
"mürği-dil,",2
uçmağa,2
nəsibin,2
düri-qəltani.,2
"surətini,",2
daşını,2
zae,2
Versə,2
cani,2
canani.,2
müğ,2
divanədir,2
aşiqlər,2
tari-mu,2
bədxu,2
"gülrüxlər,",2
"zəxm,",2
daşları,2
"düyün,",2
"çəkmiş,",2
gecəsi,2
"leyk,",2
"almaq,",2
tələtin,2
əhvalım,2
"yetdim,",2
intizarım,2
açanda,2
əcr,2
"Olma,",2
səhra,2
mahın,2
saətdə,2
"bidərd,",2
göstərmə,2
Qaçıb,2
qurtarmağa,2
qurbanın.,2
çaki-giribanım,2
xətindən,2
"göstərdi,",2
"ülfətim,",2
"oxların,",2
tənha,2
yad.,2
əhli-dərd,2
Gəlir,2
yarar,2
Bilirəm,2
"tökülür,",2
"xublar,",2
mərəkə,2
mehrilə,2
köksün,2
Tazə-tazə,2
Sübhi,2
aşiqdir,2
Daşlara,2
Kəs,2
mehrinlə,2
"ətvarını,",2
kəsmə,2
məhvəş,2
"ümid,",2
"Gərçi,",2
niyyət,2
sana?,2
xakdən,2
mülki-hüsn,2
bağinə,2
mizacın,2
"yarın,",2
bulub,2
Bəzi,2
vəfatın,2
Murtəza,2
Məkkəyə,2
şəhadətin,2
"Şahi-mülki-möhnətəm,",2
"könlümdən,",2
"sərgərdaniyəm,",2
"odundan,",2
Xəsü,2
ehtiraz,2
səcdəsidir,2
xəttini,2
səngi-məlamətdən,2
"nuri,",2
gərəkməz,2
Yeydir,2
Kimsədə,2
bütünlər,2
Halımı,2
Yığdı,2
həmta,2
xunxarə,2
Gözdə,2
Qətreyi-əşkim,2
köksümü,2
Qandı,2
gərdişə,2
Şirinə,2
"cahildir,",2
"təmənna,",2
feyzinə,2
dəvasız,2
guşə,2
"aram,",2
Baxdıqca,2
Olmazmı,2
görgəc?,2
Yetirdi,2
ayağə,2
"bağından,",2
Həya,2
səyilə,2
yetmək,2
"müşküldür,",2
bulunur,2
olmaz!,2
dəfi,2
görəli,2
"üşşaqın,",2
"eylədiyin,",2
"gərdun,",2
versəm,2
hali?,2
bütlər,2
"Təbiba,",2
artırma,2
umsa,2
dəryasından,2
cövhərdir,2
təzərrö,2
Dilpəzirindir,2
Mürəbbe,2
etməzəm,2
Xəlqi,2
odilə,2
olalar,2
cəfalar,2
"görəsən,",2
eylədiyin,2
ehsanlar.,2
Sorma,2
bilirlər,2
təsbih,2
tari,2
şəbnəm,2
muradım,2
müqabil,2
"saət,",2
bihəd,2
Sübhdəm,2
ərzi-ariz,2
Vəhmim,2
Rəvayət,2
Hekayət,2
üzən,2
səhrasını,2
siması,2
təbii,2
"düşən,",2
anlayan,2
səmanın,2
padşahı,2
açıldıqda,2
ölmüş,2
bitkilər,2
yaxasını,2
Bağı,2
"Xülasə,",2
yasəmənlər.,2
gülşəni,2
gəzməyə,2
girib,2
"salanda,",2
öyüb,2
ALÇA,2
bitirən,2
ALI,2
yetirdi.,2
xoşa,2
meyvələr,2
qol-budaq,2
"alçaq,",2
utanmırsan?,2
Yum,2
həddini,2
"aşdın,",2
üstündən,2
QEYSİ,2
dünyaları,2
hara,2
yeməyə,2
ALMA,2
Hirsindən,2
dadı,2
xəstəlikdən,2
üzümü,2
keçə,2
"edərək,",2
"edərkən,",2
ARMUD,2
şeytanın,2
sağlamlıq,2
nöqsanlarını,2
ÜZÜM,2
böyüklüyü,2
nurə,2
Xəstələrə,2
Ürəklərə,2
bəzəyən,2
yanaşı,2
HEYVA,2
"ağzını,",2
şadlığı,2
qoyarsan.,2
olunmuş,2
qoydu.,2
ətrim,2
apararlar.,2
hədiyyə,2
təriflərkən,2
NARINC,2
yoxdur?,2
yuva,2
paltarım,2
kişilər,2
TURUNC,2
NAR,2
Turunc,2
tərifə,2
müqayisə,2
bağından,2
ərəb,2
hazıram,2
"qurtardı,",2
vurmaq,2
kifayətdir:,2
"əritdi,",2
"nəbat,",2
dərəcədə,2
dənə,2
Əfsanə,2
alaraq,2
getmək,2
istərkən,2
"yarandım,",2
xəstənin,2
hərarəti,2
"şəfa,",2
"susanda,",2
Dərya,2
dava,2
Suyum,2
aparan,2
Qarpızı,2
"etmişdi,",2
Gərməyə,2
Şamamanı,2
təyin,2
kənara,2
vəfat,2
olunar.,2
Ətrim,2
ətrinə,2
bunları,2
ləzzətindən,2
əfsaneyi-Məcnunə,2
Xəmidə,2
altındakı,2
padişahi,2
üşşaqin,2
yetirmə,2
"tanrıçün,",2
Tövbə,2
vadidə,2
mülkini,2
bazarinə,2
"e’tibar,",2
hüznü,2
vəsmə,2
yəğma,2
daği,2
zahidlər,2
meyxanələr,2
tarın,2
"tərk,",2
əfğanı,2
Abi-heyvan,2
"ğəni,",2
vergil,2
Şər,2
"aşiqin,",2
peyğəmbər,2
möcüzat.,2
qərəz,2
Müshəf,2
hilalə.,2
urdu,2
əhsəntü,2
Müxalif,2
Əyan,2
qəmi-pünhanə,2
peykanə,2
"gördün,",2
gərdunə,2
Deməz,2
əmma.,2
Bəladır,2
kuhü,2
görünsə,2
zülfi,2
Gedən,2
kiməm,2
Kəmtərin,2
fəqrü,2
"zəbər,",2
karü,2
Eyləyim,2
məva.,2
şivəvü,2
qıldıqda,2
Qıldım,2
Hökmü,2
seyyid,2
helmü,2
əhli-xeyrə,2
nisbətdir,2
Hal,2
Öyrətdi,2
çəkin,2
"həsar,",2
Əşkim,2
fənayə,2
Çoxları,2
Məcnunun,2
Leylinin,2
səbri,2
eşqdə,2
bünyadı,2
Qəbul,2
rüsvalığ,2
bilməzsə,2
Fəraq,2
"tutmaz,",2
ləbi-xəndan,2
türrələr,2
Yaşım,2
"təxti-rəvandır,",2
taci-zərrin,2
dövləti-eşq,2
Yumulmaz,2
tüğyanından,2
ansız,2
"çeşmi-xunbarım,",2
Xəyali-surəti-cananə,2
"əbr,",2
səncə,2
danayə,2
heyranlığım,2
daği-hicran,2
əndişədən,2
nolur,2
cövrünə,2
Demən,2
syltan,2
Mübarək,2
"mülkdür,",2
nəxli,2
tiğini,2
etməyincə,2
gülbərgi-tər,2
əlinlə,2
kəsilməz,2
sənəmlər,2
boynu,2
bağı.,2
mişk,2
kami-dil,2
Açar,2
afitabın,2
"sevin,",2
Vəhm,2
mahə,2
"adını,",2
"qəfəs,",2
xəs.,2
Fərhadın,2
biyaban,2
"seyrinə,",2
Bağla,2
"qəddin,",2
xalından,2
tərki-sər,2
peymanəsi,2
altındadır,2
Cəmü,2
tutmaya,2
Rəşk,2
rişteyi-canım,2
qoma,2
badeyi-gülgunə,2
Daşı,2
Pərivəşlər,2
fulad,2
qeydin,2
çəkərlər,2
Atın,2
oddur,2
Gəzər,2
gülüstandır.,2
"qarətə,",2
Meyl,2
Mehrab,2
Səf-səf,2
cam.,2
yügürüb,2
"sirişk,",2
həram.,2
hübab,2
vəfadən,2
xudadən,2
yarlıq,2
"bizdən,",2
zülfi-ənbər,2
cəmiyyəti,2
Həvadən,2
Tənim,2
odlar,2
"kafər,",2
"qılmaz,",2
bidadü,2
"binəva,",2
cananım,2
Eyləyən,2
"dərdimə,",2
"gözün,",2
bağiban,2
Suya,2
Fəryad,2
müjə,2
"şəm’,",2
tutuşmuş,2
xublara,2
müvafiq.,2
Bağrımın,2
asmış,2
"dəmdə,",2
cari,2
məndəki,2
başındakı,2
Nihan,2
eşqim,2
"əfğan,",2
məhvəşlər,2
cəfasından,2
təhrikilə,2
bəri.,2
"inqilab,",2
"ləşkəri,",2
sultanəm,2
məni-dərviş,2
məzhəri.,2
tədric,2
Payimal,2
Qılmasın,2
dürür,2
"fariğəm,",2
Rizq,2
bətər,2
Çəməndə,2
aşiq?,2
"ahə,",2
vəş,2
"xilas,",2
tutdun,2
nihandır,2
kəfənim.,2
niza,2
"oxu,",2
çıxara,2
bəharım,2
qönçəvü,2
"vətənimdir,",2
halin,2
qılmadın,2
"keçsin,",2
əhli-dərdə,2
sultanım.,2
Dəyər,2
məzlumu,2
nisbəti,2
dərdi-eşq,2
baran,2
Bilməzəm,2
soran,2
Yetməyib,2
səhrayə,2
xidmətinə,2
yoldaşı?,2
Səbəb,2
bağın,2
xuni,2
cəlladın,2
gəncin,2
mahin,2
Tökdü,2
əmvatə,2
Müjdə,2
qamətindən,2
"tapşırdım,",2
"fikrin,",2
etdim?,2
İltifat,2
səbəb?,2
qəzəb.,2
"dili-suzanimə,",2
"çəkən,",2
"kimdir,",2
vacibdir,2
"Qıl,",2
dillər,2
uzadıb,2
qıldılar,2
insanə,2
Küfri-zülfün,2
dolar,2
bütxanə,2
cənnətdə,2
dərdi-eşqin,2
rəngilə,2
məqsudum,2
"yetsəm,",2
Çıxardı,2
rövzə,2
zövqindən,2
əfzundur,2
"Ənisim,",2
"xüram,",2
sardı,2
içinə,2
"dağıdıb,",2
"cisminə,",2
asayiş,2
tökülə,2
verərəm,2
"nəqdin,",2
sərvqədü,2
siməndam.,2
"başından,",2
"sayəsi,",2
idbarə,2
təbdil,2
lövhində,2
Tiz,2
çəkməzsən,2
"kənar,",2
fəsli-bahar,2
şəb.,2
durmayıb,2
təəb.,2
Dövri-qədəh,2
məqsədim,2
səbəbi,2
Nəzr,2
ərbabi-vəfadən,2
"yerinə,",2
"zalim,",2
duzəx,2
Qəd,2
aşiqdən,2
kilki,2
buldun,2
"eşqdən,",2
adilə,2
"əksi,",2
Qədəh,2
aşiqi-didar,2
güldən,2
türreyi-tərrar,2
fələkin,2
mürdə,2
Büküldü,2
"xurşidə,",2
yayını,2
Demin,2
Təcərrüd,2
bulmadım,2
bəladən,2
cövşən,2
kimsəni,2
aşinadən,2
yetsin,2
atəşdən,2
Mis,2
qalmamış,2
Razi-eşqin,2
"sərvinaz,",2
Getsə,2
"tanriçün,",2
"sağər,",2
"heyrətdə,",2
əyağın,2
şərab.,2
Verməz,2
gögdən,2
niqab.,2
"insaf,",2
taqinə,2
"yetməz,",2
şayəstə,2
"didə,",2
Gəzmə,2
iztirabın,2
"bazarı,",2
Keçər,2
qədimi,2
aydan,2
memarı.,2
!,2
Ğəm,2
dürri,2
dövri,2
gəldilər,2
cəhanə,2
müəzzəm,2
mükərrəm,2
hami,2
əyyam,2
alanlar,2
fəsahət,2
taifə,2
Naçar,2
kin,2
nifrin,2
qövm,2
nəsimi,2
dilərəm,2
verəndə,2
dürdə,2
verərmi,2
şərbətə,2
əyağinə,2
başimə,2
"mərhəm,",2
Nərgisin,2
"otlu,",2
suludur.,2
Bixəbər,2
"yoxluq,",2
edərsə,2
mühit,2
günbədi-dəvvarə,2
"gülzarı,",2
Oxşada,2
baxmaqdan,2
yadilə,2
zöhhad,2
"talibi,",2
şövqüm,2
arə,2
topraq,2
tutsam,2
kuyə,2
varə,2
"düşə,",2
Yetmiş,2
barmağın,2
Dusti,2
yetəm,2
meyxarə,2
